text	masks_stance	masks_argument	quarantine_stance	quarantine_argument	vaccines_stance	vaccines_argument
Каникулы только дадут почву для распостранения вируса, нужно было объявлять не выходные, а карантин.	-1	-1	2	1	-1	-1
Думал спокойно посидим в небольшой компании, поговорим, пока все дома сидят из-за карантина.	-1	-1	1	1	-1	-1
[USER], в Китае болезнь гуляет с декабря, просто до последнего не объявляли карантин.	-1	-1	2	1	-1	-1
если переболела бессимптомно добрая треть населения, то все забьют такого болта на карантин, что заболеет 100% населения - и тогда всё закончится очень плачевно, ибо если бессимптомных только половина - то в России заболеет с симптомами 70 миллионов, из них 10 будут тяжёлых случаев - система здравоохранения к такому точно не готова, не только российская, а вообще любая.	-1	-1	-1	-1	-1	-1
А подготовка подразумевает собой массовое скопление людей в непосредственной близости друг от друга, что само по себе является нарушением карантина.	-1	-1	1	1	-1	-1
Другой бы ввёл карантин на 3 месяца, но организм среднего россиянина может выдержать только недельный запой!	-1	-1	1	1	-1	-1
Пока диагноз не поставили - у больного просто ОРВИ и он не может быть посажен на карантин!	-1	-1	1	1	-1	-1
Эти меры за рубежом не сработали, потому и ввели карантин.	-1	-1	1	1	-1	-1
А если человек без коронавируса самоизолировался или попал под карантин, ему каникулы не требуются?	-1	-1	1	1	-1	-1
Сколько там было выявленных случаев, когда карантин объявили?	-1	-1	1	1	-1	-1
Карантин не бесполезен, очень важен и необходим, и то, что лично ты не веришь в него и считаешь его глупостью - твоя персональная беда.	-1	-1	0	0	-1	-1
Правда паники не было, да же в самый критический момент, когда думал что уже все конец, и за ранее не было паники, так как сначала сидел на карантине с больными родителями, и видел все что с ними происходило, правда мне досталось почему то хуже чем им. Болел тяжело.	-1	-1	1	1	-1	-1
"а некоторые ещё и догадываются находясь на карантине, нарушать режим и выходить ""то за продуктами"" то ""а мне нужно""."	-1	-1	2	1	-1	-1
"Неподтвержденные регистрируются неохотно с пометкой ""на карантине"", но и этого мало, поскольку в любом случае есть переносчики вируса не на карантине и сколько их во всем мире ни одна статистика не знает."	-1	-1	1	1	-1	-1
Президент что бы не брать на себя ответственность, объявил не карантин а выходные, тем самым переваливая на других ответственность.	-1	-1	1	1	-1	-1
Госсудорство обещало всем оплату отпуска на срок карантина в виде минимальной ЗП.	-1	-1	1	1	-1	-1
Нарушение периода карантина - штраф и общ.работы/условный срок.	-1	-1	1	1	-1	-1
Тесты у них возьмут, если будут симптомы заболевания, а пока они на карантине должны сидеть, а врачи ежедневно контролировать их состояние	-1	-1	1	1	-1	-1
Карантин либо невыполнение требований о проведении санитарно-противоэпидемических (профилактических) мероприят.	-1	-1	1	1	-1	-1
А ведь всего то и надо, что обеспечить карантинную изоляцию прибывающих на период инкубации инфекции.	-1	-1	2	1	-1	-1
В Ленобласти, например, есть Постановление Правительства ЛО от  No 154, но в нём нет ни слова о введении карантина и проведении карантинных мероприятий.	-1	-1	1	1	-1	-1
"Это вам для осознания причинно-следственных связей ""В Ленобласти из-за карантинных ограничений по коронавирусу огромная очередь в , инвалиды, пожилые онкобольные вынуждены часами стоять чтобы попасть на жизненно важные процедуры которые нельзя пропускать""... И для (Мариночка Сергеева), иногда, заданные вопросы говорят о человеке очень много."	-1	-1	1	1	-1	-1
Надо их сразу с трапа самолёта вывозить на карантин, ну	-1	-1	2	1	-1	-1
Анализы взяли, сказали сидеть на карантине 2 недели, а про больничный ни слова.	-1	-1	1	1	-1	-1
И самолёт им, и теплую еду, и ... А мы из за таких особ в карантинах и запретах сидим, да ещё с наших налогов им полёты оплачиваем.	-1	-1	1	1	-1	-1
[USER], понятие карантин, самоизоляцию и прочее для многих одно и тоже  Про открытое заражение я думаю проинформируют, так как это может быть поводом для введения ЧС.	-1	-1	1	1	-1	-1
"Хватит прикрываться ""нерабочей неделей"" Введите КАРАНТИН"	-1	-1	1	1	-1	-1
Карантин и меры предосторожности должны соблюдать все!	-1	-1	2	1	-1	-1
С одной стороны, мало кто готов соблюдать строгий  карантин, с другой - везти в больницу человека, чувствующего себя здоровым...	-1	-1	2	1	-1	-1
